gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,TotalServices,AvgCharges,TotalRevenue,TenureGroup_13-24,TenureGroup_25-48,TenureGroup_49-60,TenureGroup_61-72
0,0,1,0,-1.2802480369298872,0,1,-1.1616939352451687,-0.9941940877241977,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1,-0.49709704386209885,29.85,False,False,False,False
1,0,0,0,0.06430268518835204,1,0,-0.2608779199297494,-0.17373981825040716,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,3,-0.00496399480715449,1936.3000000000002,False,True,False,False
1,0,0,0,-1.239504075653577,1,1,-0.3639232943754247,-0.9596491092068434,1,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,3,-0.31988303640228116,107.7,False,False,False,False
1,0,0,0,0.5124862592277651,0,0,-0.7478504152939892,-0.19524770717404724,0,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,3,-0.0042445153733488535,1903.4999999999998,False,True,False,False
0,0,0,0,-1.239504075653577,1,1,0.19617817640187485,-0.94045745447498,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1,-0.31348581815832666,141.4,False,False,False,False
0,0,0,0,-0.9950403079957153,1,1,1.1584890119510038,-0.6453692184426381,1,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,5,-0.07170769093807089,797.2,False,False,False,False
1,0,0,1,-0.42462485012737133,1,1,0.8078023344020117,-0.14731268909089856,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,4,-0.006404899525691242,1960.1999999999998,True,False,False,False
0,0,0,0,-0.9135523854430947,0,0,-1.165017979582126,-0.8741690378436584,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1,-0.07946991253124168,297.5,False,False,False,False
0,0,1,0,-0.18016108246950965,1,1,1.3296772953043028,0.3365155445113559,1,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,6,0.011603984293495032,2934.4,False,True,False,False
1,0,0,1,1.20513360092504,1,0,-0.28747027462540764,0.5314762853391826,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,3,0.008436131513320358,3481.2999999999997,False,False,False,True
1,0,1,1,-0.7913205016141639,1,1,-0.493561023516758,-0.7481879571842651,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2,-0.053441996941733225,649.35,True,False,False,False
1,0,0,0,-0.669088617785233,1,0,-1.5240147679735108,-0.8631834699626608,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,1,-0.050775498233097696,303.2,True,False,False,False
1,0,1,0,1.042157755819799,1,0,1.1817573223097042,1.4990665744239267,0,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,5,0.0254079080410835,5820.299999999999,False,False,True,False
1,0,0,0,0.6754621043330062,1,1,1.293112807597773,1.214588896927247,1,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,6,0.024291777938544937,5081.3,False,False,True,False
1,0,0,0,-0.3023929662984405,1,1,1.3529456056630038,0.17768805707524446,0,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,6,0.006834156041355556,2637.5,False,True,False,False
0,0,1,1,1.490341329859212,1,0,1.6105590417771918,2.4758776815292665,0,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,8,0.035369681164703806,7814.25,False,False,False,True
0,0,0,0,0.7976939881619372,1,0,-1.4675060142452374,-0.5560508161330804,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,1,-0.01049152483269963,1073.8,False,False,True,False
1,0,0,1,1.5718292524118325,1,0,1.392834137706491,2.249592630679318,0,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,6,0.031244342092768305,7575.7,False,False,False,True
